gene_symbol,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significant
SNORD17,ENSG00000212232,8307.466354345004,11.045081917329838,1.1015260709651478,10.027072629930794,1.1590193036169457e-23,1.3620720080667405e-20,Upregulated
UBE2C,ENSG00000175063,530.8120105118418,6.415680468184042,0.64178954944393,9.996548671979504,1.5780108551838808e-23,1.7609257170446503e-20,Upregulated
TIMP4,ENSG00000157150,2208.706913981527,4.436683873309416,0.4438689048874711,9.995482504984658,1.5950851928981762e-23,1.7609257170446503e-20,Upregulated
PBK,ENSG00000168078,299.9655716757419,5.909197869509291,0.5918549063437526,9.984200191925412,1.7873667852558442e-23,1.915163510401637e-20,Upregulated
EEF1A1P4,ENSG00000245205,158.83436189695826,5.035907502089514,0.5068219306486462,9.936246238682697,2.895325664435302e-23,2.9373325813961367e-20,Upregulated
MKI67,ENSG00000148773,972.0666406210228,5.488475018154452,0.5523829298394153,9.935996790758944,2.902582222015891e-23,2.9373325813961367e-20,Upregulated
EZH2,ENSG00000106462,693.1519708614218,3.9371895656238496,0.396491090543738,9.93008332223679,3.0799806578037557e-23,3.032615549849963e-20,Upregulated
RNY1,ENSG00000201098,1001.1822159419869,9.31248797985486,0.9508791566986782,9.793555694486498,1.2000008082104013e-22,1.1504534064187665e-19,Upregulated
GPR82,ENSG00000171657,132.5394155181155,6.030060080532542,0.6171025426113106,9.771569008638242,1.491244796300351e-22,1.3930138249748227e-19,Upregulated
GAS2L3,ENSG00000139354,510.2476083754392,3.742305924257418,0.38408691466968603,9.743383024323528,1.968882668357058e-22,1.7932091122728994e-19,Upregulated
H4C4,ENSG00000277157,1645.7066879864756,11.223385821377311,1.1536131552126412,9.728898956001025,2.270370309866341e-22,2.0173624575302603e-19,Upregulated
H2AC11,ENSG00000196787,1497.5697240355262,7.908251697925948,0.8150340712172837,9.702970682090235,2.9284557808899837e-22,2.5401564893715e-19,Upregulated
H1-3,ENSG00000124575,1876.5099266083755,11.685959660957023,1.204931690177627,9.698441626374949,3.061385928838149e-22,2.593705831941921e-19,Upregulated
MYBL2,ENSG00000101057,533.7688029362785,6.471903500416996,0.6691690604706027,9.671552202167772,3.9829065977936076e-22,3.297756142368612e-19,Upregulated
PCDHB17P,ENSG00000255622,108.9393190088617,3.017455581014997,0.3124311774496903,9.657984858124115,4.547203021536962e-22,3.6813145172802904e-19,Upregulated
H1-5,ENSG00000184357,3813.1176599053724,13.106162250194815,1.3606171276933887,9.63251305855107,5.828624832927564e-22,4.616144158443133e-19,Upregulated
AC083855.2,ENSG00000285906,78.68706765782527,5.382410333302659,0.5599777696546793,9.61182858494869,7.127183901267859e-22,5.524477376746582e-19,Upregulated
RN7SL128P,ENSG00000240869,1859.6991739769805,10.632282747331839,1.1161164483901995,9.526141078439464,1.6323857904039011e-21,1.227581163578542e-18,Upregulated
E2F2,ENSG00000007968,183.87393763287292,5.313436854300844,0.5578436738137088,9.52495672842435,1.6511069423114533e-21,1.227581163578542e-18,Upregulated
NPM1P27,ENSG00000249353,243.74453310217436,3.527246820873451,0.37132310764046766,9.499130940939704,2.1164921636223357e-21,1.5421185202585063e-18,Upregulated
IDH1,ENSG00000138413,3937.046086080811,2.3367523306595137,0.24694135471300405,9.462782503057433,2.9985564053306133e-21,2.141968792207835e-18,Upregulated
FRRS1,ENSG00000156869,166.1012359709392,3.843652211873116,0.4066899215213537,9.451063349430214,3.35405828950057e-21,2.349840337399909e-18,Upregulated
HNRNPKP4,ENSG00000243547,106.30996372906694,3.3040112519983706,0.3520546100111155,9.384939603245225,6.2952510150700554e-21,4.327213013773909e-18,Upregulated
EEF1A1P13,ENSG00000250182,396.5072115934951,3.4375970095053985,0.3670021811719777,9.366693676118878,7.484020317118805e-21,5.049080447647318e-18,Upregulated
COL4A1,ENSG00000187498,15055.985136939122,5.053493702351751,0.544117389721693,9.287506331926883,1.579452950978664e-20,1.0275187581625662e-17,Upregulated
IGF2BP3,ENSG00000136231,565.3473566625114,7.088019859967704,0.7630670906324839,9.288855392902153,1.5595638103938538e-20,1.0275187581625662e-17,Upregulated
AC103591.4,ENSG00000285928,180.48268554309306,-2.070639309423898,0.22305054298384228,-9.283274013701435,1.643491719984525e-20,1.0504218745746708e-17,Downregulated
RN7SKP203,ENSG00000200488,2573.1341065131655,13.44354518259774,1.4500224127047503,9.27126716443043,1.8394739337082744e-20,1.1554116358435542e-17,Upregulated
RPL15P3,ENSG00000212802,408.7407819229779,3.5872893794732335,0.3871445881569774,9.26601969706129,1.932221174629731e-20,1.1871130369794372e-17,Upregulated
H3C3,ENSG00000287080,1766.1254394710468,11.311991136057348,1.220969324598419,9.264762765254483,1.955114661106372e-20,1.1871130369794372e-17,Upregulated
HJURP,ENSG00000123485,305.44133377643413,5.477883466828876,0.5916888389430922,9.258047653245882,2.082042289025516e-20,1.2434570923194848e-17,Upregulated
SETP14,ENSG00000240489,62.23268431865398,3.2446757594108777,0.35072754769391973,9.251271480512587,2.2183783739639405e-20,1.3035119764819407e-17,Upregulated
BUB1B,ENSG00000156970,226.3840528506596,4.60018527643453,0.4973733100596466,9.248958847194398,2.2668995789944317e-20,1.3108796597197802e-17,Upregulated
KIF4A,ENSG00000090889,405.5969786040007,4.253984354803092,0.46058524815252466,9.236041258087294,2.557858959688076e-20,1.4479165092895517e-17,Upregulated
EXOC3L2,ENSG00000283632,111.46997766555344,4.4726865745051425,0.48432016347525636,9.234979073370026,2.5833650765507632e-20,1.4479165092895517e-17,Upregulated
H2BC9,ENSG00000275713,1010.5653658781284,9.894780642341274,1.073639015943369,9.21611500272005,3.08059737347841e-20,1.7004430744423026e-17,Upregulated
